2020-08-10 15:52:16.971 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolTeacherMapper' and 'com.safe.campus.mapper.SchoolTeacherMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 15:52:16.972 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'sysFileMapper' and 'com.safe.campus.mapper.SysFileMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 15:52:16.972 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.safe.campus]' package. Please check your configuration.
2020-08-10 16:02:25.289 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'buildingLevelMapper' and 'com.safe.campus.mapper.BuildingLevelMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.290 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'buildingNoMapper' and 'com.safe.campus.mapper.BuildingNoMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.291 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'buildingRoomMapper' and 'com.safe.campus.mapper.BuildingRoomMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.291 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'roleMapper' and 'com.safe.campus.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.291 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolBranchMapper' and 'com.safe.campus.mapper.SchoolBranchMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.291 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolBuildingMapper' and 'com.safe.campus.mapper.SchoolBuildingMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.292 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolClassInfoMapper' and 'com.safe.campus.mapper.SchoolClassInfoMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.293 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolClassMapper' and 'com.safe.campus.mapper.SchoolClassMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.293 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolHeadMapper' and 'com.safe.campus.mapper.SchoolHeadMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.294 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolSectionMapper' and 'com.safe.campus.mapper.SchoolSectionMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.294 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolStudentMapper' and 'com.safe.campus.mapper.SchoolStudentMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.294 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'schoolTeacherMapper' and 'com.safe.campus.mapper.SchoolTeacherMapper' mapperInterface. Bean already defined with the same name!
2020-08-10 16:02:25.295 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'sysFileMapper' and 'com.safe.campus.mapper.SysFileMapper' mapperInterface. Bean already defined with the same name!
